,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,253,0,0,0,0,0,0,0,1,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,26,5,0,0,0,0,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,1,200,0,0,0,0,1,0,0,0,0,0
T-helper 22 cell,0,0,0,94,41,0,5,5,0,9,0,12,3
"central memory CD4-positive, alpha-beta T cell",0,0,0,4,197,0,1,0,0,0,0,19,15
"effector CD8-positive, alpha-beta T cell",0,0,1,0,0,48,2,1,0,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,0,1,1,8,39,4,0,1,0,0,4
gamma-delta T cell,0,0,2,5,0,41,18,18,0,17,0,1,1
mature NK T cell,1,0,0,0,0,7,1,0,55,0,0,0,0
mucosal invariant T cell,0,0,0,4,0,2,12,2,0,33,0,5,0
naive B cell,0,0,0,0,0,0,0,0,0,0,121,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,3,31,0,0,0,0,0,0,267,5
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,1,17,0,3,0,0,0,0,10,117
