,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,155,0,0,1,1,0,0,0,0,0,0,1,0
"CD16-negative, CD56-bright natural killer cell, human",0,20,3,0,0,0,0,0,0,1,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,2,260,1,0,0,0,1,0,0,0,0,0
T-helper 22 cell,0,0,0,119,48,0,3,10,0,9,0,10,4
"central memory CD4-positive, alpha-beta T cell",0,0,1,20,125,2,1,5,0,2,0,14,4
"effector CD8-positive, alpha-beta T cell",0,0,5,1,0,100,7,0,3,0,0,0,1
"effector memory CD8-positive, alpha-beta T cell",0,0,0,2,0,3,106,4,1,1,0,1,11
gamma-delta T cell,0,0,3,19,14,1,4,25,0,3,0,4,1
mature NK T cell,1,0,1,0,0,9,3,0,68,0,0,0,0
mucosal invariant T cell,0,0,0,14,1,0,4,5,1,28,0,7,0
naive B cell,0,0,0,0,0,0,0,0,0,0,60,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,9,34,0,1,3,0,4,0,240,9
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,9,18,0,4,7,1,2,0,9,117
