,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,254,0,0,0,0,0,0,0,0,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,26,5,0,0,0,0,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,3,198,0,0,0,0,1,0,0,0,0,0
T-helper 22 cell,0,0,0,98,48,0,4,3,0,6,0,7,3
"central memory CD4-positive, alpha-beta T cell",0,0,0,3,207,0,1,0,0,0,0,8,17
"effector CD8-positive, alpha-beta T cell",0,0,1,0,0,48,2,0,1,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,0,1,2,5,38,7,0,1,0,0,4
gamma-delta T cell,0,0,7,5,1,15,9,42,0,22,0,1,1
mature NK T cell,1,0,0,0,0,6,1,1,55,0,0,0,0
mucosal invariant T cell,0,0,0,4,1,2,4,4,0,38,0,4,1
naive B cell,0,0,0,0,0,0,0,0,0,0,121,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,1,29,0,0,0,0,0,0,271,5
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,1,8,0,2,0,0,0,0,12,125
