,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,201,0,0,0,0,0,0,0,4,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,1,66,0,8,2,3,1,0,0,0,2,1
"CD16-positive, CD56-dim natural killer cell, human",0,0,355,4,4,17,7,0,0,3,0,4,0
T-helper 22 cell,0,0,3,23,31,0,28,0,0,1,0,33,0
"central memory CD4-positive, alpha-beta T cell",0,0,9,8,103,0,7,2,0,0,0,38,0
"effector CD8-positive, alpha-beta T cell",0,0,94,1,2,62,10,5,1,1,1,34,1
"effector memory CD8-positive, alpha-beta T cell",0,0,23,3,9,15,22,0,0,5,0,21,4
gamma-delta T cell,0,0,26,2,12,13,10,2,0,0,0,34,1
mature NK T cell,3,0,11,2,2,7,1,0,72,0,0,4,0
mucosal invariant T cell,0,0,12,9,3,9,8,0,0,2,0,33,2
naive B cell,0,0,0,0,0,0,0,0,0,0,86,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,14,14,66,2,28,3,0,2,0,261,7
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,5,4,30,0,14,0,0,0,0,82,8
