,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,199,0,0,0,0,0,0,0,0,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,74,5,0,0,0,0,2,0,1,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,7,367,0,0,0,0,1,0,1,0,0,0
T-helper 22 cell,0,0,0,92,16,0,0,1,0,2,0,9,4
"central memory CD4-positive, alpha-beta T cell",0,0,1,17,115,5,1,1,0,2,0,19,4
"effector CD8-positive, alpha-beta T cell",0,0,2,0,2,199,3,0,3,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,0,0,2,9,73,2,0,3,0,1,14
gamma-delta T cell,0,1,5,10,8,3,10,57,1,7,1,5,1
mature NK T cell,4,0,1,0,0,19,1,2,72,0,0,2,0
mucosal invariant T cell,0,0,0,3,0,2,4,6,0,61,0,3,1
naive B cell,0,0,0,0,0,0,0,0,0,0,90,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,2,29,0,0,1,0,1,0,360,6
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,2,14,0,4,1,0,1,0,20,108
