,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,198,0,0,0,0,0,0,0,1,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,70,8,0,0,0,1,2,0,1,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,5,365,0,0,2,0,3,0,1,0,0,0
T-helper 22 cell,0,0,0,92,22,0,0,1,0,1,0,4,4
"central memory CD4-positive, alpha-beta T cell",0,0,1,18,114,5,0,2,0,2,0,14,9
"effector CD8-positive, alpha-beta T cell",0,0,2,0,2,190,6,9,0,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,1,0,2,3,73,4,0,3,0,0,18
gamma-delta T cell,0,1,8,13,11,7,18,42,0,4,1,4,0
mature NK T cell,5,0,1,0,0,21,1,2,69,0,0,2,0
mucosal invariant T cell,0,0,0,3,2,2,3,5,0,59,0,4,2
naive B cell,0,0,0,0,0,0,0,0,0,0,90,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,7,50,0,0,1,0,1,0,330,10
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,4,14,0,3,0,0,1,0,24,104
