label_seed,scheme,representation,evaluation_type,evaluation_id,macro_f1,accuracy,n_test_cells,n_classes,chance_macro_f1
1000,random_split,hvg,split,42,0.08145308079376486,0.08160237388724036,2022,13,0.07692307692307693
1000,random_split,pca,split,42,0.0749564972197909,0.0830860534124629,2022,13,0.07692307692307693
1000,random_split,harmony,split,42,0.08049593625307,0.08753709198813056,2022,13,0.07692307692307693
1000,random_split,scvi,split,42,0.061333662914369924,0.0712166172106825,2022,13,0.07692307692307693
1000,donor_cv,hvg,fold,1,0.07559498973085624,0.07613741875580315,2154,13,0.07692307692307693
1000,donor_cv,hvg,fold,2,0.07524850939009167,0.07577870757787075,2151,13,0.07692307692307693
1000,donor_cv,hvg,fold,3,0.09029403821247281,0.09095063985374771,2188,13,0.07692307692307693
1000,donor_cv,hvg,fold,4,0.07480203882955636,0.07560706401766004,1812,13,0.07692307692307693
1000,donor_cv,hvg,fold,5,0.074091919721546,0.07547169811320754,1802,13,0.07692307692307693
1000,donor_cv,pca,fold,1,0.06780089714817907,0.07520891364902507,2154,13,0.07692307692307693
1000,donor_cv,pca,fold,2,0.076222311984628,0.08275220827522083,2151,13,0.07692307692307693
1000,donor_cv,pca,fold,3,0.0673275405758109,0.07495429616087751,2188,13,0.07692307692307693
1000,donor_cv,pca,fold,4,0.0683409206261246,0.07891832229580574,1812,13,0.07692307692307693
1000,donor_cv,pca,fold,5,0.06944954168871202,0.0804661487236404,1802,13,0.07692307692307693
1000,donor_cv,harmony,fold,1,0.07349143964732975,0.07845868152274837,2154,13,0.07692307692307693
1000,donor_cv,harmony,fold,2,0.07962586701035614,0.08507670850767085,2151,13,0.07692307692307693
1000,donor_cv,harmony,fold,3,0.07021079278560435,0.07769652650822668,2188,13,0.07692307692307693
1000,donor_cv,harmony,fold,4,0.07156610725273664,0.08222958057395144,1812,13,0.07692307692307693
1000,donor_cv,harmony,fold,5,0.06746058560431914,0.07547169811320754,1802,13,0.07692307692307693
1000,donor_cv,scvi,fold,1,0.06374671877371428,0.07288765088207985,2154,13,0.07692307692307693
1000,donor_cv,scvi,fold,2,0.08247514152392324,0.08926080892608089,2151,13,0.07692307692307693
1000,donor_cv,scvi,fold,3,0.07270360588163667,0.07998171846435101,2188,13,0.07692307692307693
1000,donor_cv,scvi,fold,4,0.05756804094106508,0.0728476821192053,1812,13,0.07692307692307693
1000,donor_cv,scvi,fold,5,0.0674833604476647,0.07713651498335183,1802,13,0.07692307692307693
1001,random_split,hvg,split,42,0.07089481536056251,0.0712166172106825,2022,13,0.07692307692307693
1001,random_split,pca,split,42,0.06845798416832237,0.07171117705242334,2022,13,0.07692307692307693
1001,random_split,harmony,split,42,0.06988909506789419,0.0722057368941642,2022,13,0.07692307692307693
1001,random_split,scvi,split,42,0.06124111282850637,0.06923837784371908,2022,13,0.07692307692307693
